cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$STEL,STELLA HOLDINGS,/mkt/themarket/stock/STEL,0.0,0.96,64.32,,,56.34,1.23,0.05,2.6,STEL.KL
$STRA,STRAITS ENERGY,/mkt/themarket/stock/STRA,7.0,0.13,122.48,BUY,ana_green,23.72,0.94,0.01,1.54,STRA.KL
$SUBU,SUBUR TIASA HLDG,/mkt/themarket/stock/SUBU,8.0,0.88,183.92,,,2.38,0.3,-0.13,0.0,SUBU.KL
$SCCE,SUCCESS TRANSFOR,/mkt/themarket/stock/SCCE,9.0,0.73,184.01,OUTPERFORM,ana_lgreen,8.22,0.53,0.09,2.47,SCCE.KL
$SUNM,SUNMOW HOLDING,/mkt/themarket/stock/SUNM,0.0,0.95,222.24,,,0.0,5.2,0.01,0.0,SUNM.KL
$SUNS,SUNSURIA BHD,/mkt/themarket/stock/SUNS,2.0,0.35,313.57,HOLD,ana_yellow,14.36,0.3,0.02,5.71,SUNS.KL
$SWAY,SUNWAY BHD,/mkt/themarket/stock/SWAY,7.0,1.66,8190.57,OUTPERFORM,ana_lgreen,3.51,0.68,0.45,2.11,SWAY.KL
$SCOG,SUNWAY CONST,/mkt/themarket/stock/SCOG,9.0,1.54,1991.07,OUTPERFORM,ana_lgreen,13.08,2.83,0.09,4.58,SCOG.KL
$SUNW,SUNWAY REIT,/mkt/themarket/reit/SUNW,5.0,1.45,4965.97,OUTPERFORM,ana_lgreen,22.72,0.91,0.06,4.84,SUNW.KL
$SZBB,SUNZEN BIOTECH,/mkt/themarket/stock/SZBB,2.0,0.22,158.42,,,87.14,1.28,0.0,0.0,SZBB.KL
$SCTH,SUPERCOMNET TECH,/mkt/themarket/stock/SCTH,6.0,1.5,1142.66,BUY,ana_green,35.25,3.49,0.03,1.06,SCTH.KL
$SUPG,SUPERGENICS,/mkt/themarket/stock/SUPG,0.0,0.295,27.44,,,69.41,5.01,0.0,0.0,SUPG.KL
$SPLH,SUPERLON HLDGS,/mkt/themarket/stock/SPLH,6.0,0.655,104.8,BUY,ana_green,16.87,0.74,0.04,4.17,SPLH.KL
$SUPM,SUPERMAX CORP,/mkt/themarket/stock/SUPM,3.0,0.74,2013.26,UNDERPERFORM,ana_red,2.73,0.42,0.27,0.0,SUPM.KL
$SUPR,SUPREME CON,/mkt/themarket/stock/SUPR,0.0,0.68,81.6,,,11.09,1.05,0.06,4.31,SUPR.KL
$SURI,SURIA CAPITAL,/mkt/themarket/stock/SURI,8.0,1.07,370.03,OUTPERFORM,ana_lgreen,10.51,0.32,0.11,3.77,SURI.KL
$SWIF,SWIFT HAULAGE,/mkt/themarket/stock/SWIF,5.0,0.525,467.15,BUY,ana_green,8.84,0.71,0.05,3.73,SWIF.KL
$SWSB,SWS CAPITAL BHD,/mkt/themarket/stock/SWSB,4.0,0.295,81.15,,,62.08,0.69,0.01,0.0,SWSB.KL
$SYCA,SYCAL VENTURES,/mkt/themarket/stock/SYCA,0.0,0.185,77.02,,,75.2,0.28,0.01,0.0,SYCA.KL
$SYFR,SYF RESOURCES,/mkt/themarket/stock/SYFR,5.0,0.26,149.27,HOLD,ana_yellow,0.0,0.73,0.01,4.63,SYFR.KL
$SYML,SYMPHONY LIFE,/mkt/themarket/stock/SYML,7.0,0.455,325.98,,,6.39,0.32,0.06,4.44,SYML.KL
$SYST,SYSTECH,/mkt/themarket/stock/SYST,5.0,0.17,59.11,,,0.0,2.28,-0.06,1.18,SYST.KL
$TAKA,SYT TAKAFUL MSIA,/mkt/themarket/stock/TAKA,8.0,3.35,2804.97,OUTPERFORM,ana_lgreen,7.14,1.52,0.49,3.65,TAKA.KL
$TGLO,T7 GLOBAL BHD,/mkt/themarket/stock/TGLO,4.0,0.32,242.26,,,16.05,0.87,0.02,1.64,TGLO.KL
$TAAN,TA ANN HOLDINGS,/mkt/themarket/stock/TAAN,9.0,4.13,1837.21,OUTPERFORM,ana_lgreen,4.36,1.09,0.72,7.59,TAAN.KL
$TWHB,TA WIN HOLDINGS,/mkt/themarket/stock/TWHB,5.0,0.07,239.67,,,0.0,0.82,-0.0,0.0,TWHB.KL
$TAFI,TAFI INDUSTRIES,/mkt/themarket/stock/TAFI,5.0,0.425,161.26,,,19.73,2.46,0.02,0.0,TAFI.KL
$TALA,TALAM TRANSFORM,/mkt/themarket/stock/TALA,6.0,0.02,85.91,,,0.0,0.23,-0.0,0.0,TALA.KL
$TWRK,TALIWORKS CORP,/mkt/themarket/stock/TWRK,6.0,0.94,1894.87,OUTPERFORM,ana_lgreen,25.61,2.13,0.04,6.91,TWRK.KL
$TAMB,TAMBUN INDAH,/mkt/themarket/stock/TAMB,9.0,0.82,360.24,OUTPERFORM,ana_lgreen,5.25,0.51,0.14,7.2,TAMB.KL
$TNCS,TAN CHONG MOTOR,/mkt/themarket/stock/TNCS,6.0,1.13,759.36,HOLD,ana_yellow,0.0,0.27,-0.02,1.34,TNCS.KL
$TANC,TANCO  HOLDINGS,/mkt/themarket/stock/TANC,2.0,0.255,450.49,,,0.0,2.62,-0.01,0.0,TANC.KL
$TSOF,TAS OFFSHORE,/mkt/themarket/stock/TSOF,6.0,0.23,41.4,,,0.0,0.45,-0.01,0.0,TSOF.KL
$TASC,TASCO BERHAD,/mkt/themarket/stock/TASC,8.0,0.925,740.0,OUTPERFORM,ana_lgreen,9.9,1.42,0.08,2.05,TASC.KL
$TASH,TASHIN HOLDINGS,/mkt/themarket/stock/TASH,8.0,0.44,153.56,,,2.72,0.59,0.18,11.63,TASH.KL
$TCSG,TCS GROUP HOLDIN,/mkt/themarket/stock/TCSG,4.0,0.235,91.65,,,0.0,1.09,0.01,4.17,TCSG.KL
$TDMS,TDM BERHAD,/mkt/themarket/stock/TDMS,7.0,0.2,344.58,,,0.0,0.46,-0.02,3.28,TDMS.KL
$TECB,TECHBOND GROUP,/mkt/themarket/stock/TECB,5.0,0.345,182.64,,,18.59,1.18,0.02,1.72,TECB.KL
$TECA,TECHNA-X,/mkt/themarket/stock/TECA,4.0,0.03,66.44,,,0.0,2.69,-0.09,0.0,TECA.KL
$TOEX,TECHNODEX BHD,/mkt/themarket/stock/TOEX,2.0,0.07,59.07,,,0.0,1.76,-0.01,0.0,TOEX.KL
$TGPB,TECK GUAN P'DANA,/mkt/themarket/stock/TGPB,7.0,1.21,48.52,,,2.6,0.62,0.49,2.48,TGPB.KL
$TSHB,TEK SENG HLDGS,/mkt/themarket/stock/TSHB,7.0,0.355,128.04,HOLD,ana_yellow,8.74,0.58,0.05,11.27,TSHB.KL
$TELA,TELADAN SETIA,/mkt/themarket/stock/TELA,5.0,1.11,894.17,,,22.75,1.85,0.04,1.2,TELA.KL
$TLMM,TELEKOM MALAYSIA,/mkt/themarket/stock/TLMM,8.0,5.8,21968.48,OUTPERFORM,ana_lgreen,20.65,2.93,0.24,2.24,TLMM.KL
